Identifier,MergeCode,Country,ISO,Reg,Inc,Source,Calendar year (nearest),Problem 1: Data Not Credible,Problem 2: Cannot Exclude Resource Revenue Tax Categories,Problem 3: Data is of Questionable Analytical Comparability,Problem 4: Cannot Exclude Resource Revenue from Sub-Components of Total Tax Revenue,"Treat with Caution 1: Un-excluded Resource Revenue are Marginal, but Non-Negligible",Treat With Caution 2: Data of somewhat questionable quality,Revenue including social contributions,Revenue excluding social contributions,Revenue excluding Grants (including social contributions),Revenue excluding grants and social contributions,Total Resource Revenue,Total Non-Resource Revenue including social contributions,Taxes including social contributions,Taxes excluding social contributions,Resource taxes,Non-Resource tax including social contributions,Non-resource tax excluding social contributions,Direct taxes including social contributions and resource revenue,"Direct taxes including social contributions, excluding resource revenue","Direct taxes excluding social contributions, including resource revenue",Direct taxes excluding social contributions and resource revenue,"Taxes on income, profits, and capital gains ","Resource Component of Taxes on income, profits, and capital gains","Non-resource component of taxes on income, profits, and capital gains",Individuals ,Corporations and other enterprises ,Resource Component of Corporations and other enterprises,Non-resource component of Corporations and other enterprises,Taxes on payroll and workforce,Taxes on property,Indirect,Resource Component of Indirect,Non-Resource Component of Indirect Tax,"Taxes on goods and services,                Total","Taxes on goods and services, of which Taxes on Sales","Taxes on goods and services, of which Excises","Taxes on international trade and transactions, Total",Taxes on international trade and transactions Of which Import,Taxes on international trade and transactions Of which Export,Other taxes,Consolidated Non-Tax Revenue,Non-Resource Component of Non-Tax,Resources Component of Non-Tax,Social contributions,Grants,.,TotRev,TotTax,TotNonTax,Direct,Income,Indiv,Corp,Indirect,GS,Trade,Prob1,Prob2,Prob3,Prob4,twc1,twc2
BLR2004,1,Belarus,BLR,2,3,IMF Country Report,2004,,,,,,,,,45.67%,34.77%,,,36.23%,25.33%,0.00%,36.23%,25.33%,20.68%,20.68%,9.78%,9.78%,7.08%,0.00%,7.08%,2.81%,3.72%,0.00%,3.72%,0.78%,1.91%,15.55%,0.00%,15.55%,12.81%,7.63%,2.24%,2.74%,,,,9.46%,,,10.91%,,,34.77%,25.33%,9.44%,9.78%,7.08%,2.81%,3.72%,15.55%,12.81%,2.74%,,,,,,
BLR2005,1,Belarus,BLR,2,3,IMF Country Report,2005,,,,,,,,,47.37%,35.99%,,,33.42%,22.04%,0.00%,33.42%,22.04%,19.68%,19.68%,8.29%,8.29%,6.53%,0.00%,6.53%,2.89%,3.64%,0.00%,3.64%,,1.77%,13.75%,0.00%,13.75%,11.16%,9.06%,2.10%,2.59%,,,,13.95%,,,11.38%,,,35.99%,22.04%,13.95%,8.29%,6.53%,2.89%,3.64%,13.75%,11.16%,2.59%,,,,,,
BLR2006,1,Belarus,BLR,2,3,IMF Country Report,2006,,,,,,,,,48.43%,36.60%,,,36.00%,24.16%,0.00%,36.00%,24.16%,20.53%,20.53%,8.69%,8.69%,7.09%,0.00%,7.09%,3.13%,3.96%,0.00%,3.96%,,1.60%,15.47%,0.00%,15.47%,12.86%,9.29%,3.57%,2.61%,,,,12.43%,,,11.84%,,,36.60%,24.16%,12.43%,8.69%,7.09%,3.13%,3.96%,15.47%,12.86%,2.61%,,,,,,
BLR2007,1,Belarus,BLR,2,3,IMF Country Report,2007,,,,,,,,,50.94%,39.21%,,,38.90%,27.17%,0.00%,38.90%,27.17%,20.38%,20.38%,8.65%,8.65%,7.10%,0.00%,7.10%,3.19%,3.91%,0.00%,3.91%,,1.54%,18.53%,0.00%,18.53%,12.04%,8.95%,3.09%,6.48%,,,,10.50%,,,11.73%,,,39.21%,27.17%,12.04%,8.65%,7.10%,3.19%,3.91%,18.53%,12.04%,6.48%,,,,,,
BLR2008,1,Belarus,BLR,2,3,IMF Country Report,2008,,,,,,,,,50.54%,39.22%,,,40.14%,28.82%,0.00%,40.14%,28.82%,20.19%,20.19%,8.86%,8.86%,7.86%,0.00%,7.86%,3.24%,4.62%,0.00%,4.62%,,1.00%,19.96%,0.00%,19.96%,11.79%,8.78%,3.00%,8.17%,,,,10.40%,,,11.33%,,,39.22%,28.82%,10.40%,8.86%,7.86%,3.24%,4.62%,19.96%,11.79%,8.17%,,,,,,
BLR2009,1,Belarus,BLR,2,3,IMF Country Report,2009,,,,,,,,,45.62%,33.91%,,,36.60%,24.88%,0.00%,36.60%,24.88%,19.35%,19.35%,7.64%,7.64%,6.48%,0.00%,6.48%,3.13%,3.35%,0.00%,3.35%,,1.16%,17.24%,0.00%,17.24%,11.42%,8.80%,2.62%,5.82%,,,,9.02%,,,11.71%,,,33.91%,24.88%,9.02%,7.64%,6.48%,3.13%,3.35%,17.24%,11.42%,5.82%,,,,,,
BLR2010,1,Belarus,BLR,2,3,IMF Country Report,2010,,,,,,,,,41.65%,29.67%,,,35.87%,23.89%,0.00%,35.87%,23.89%,19.82%,19.82%,7.84%,7.84%,6.69%,0.00%,6.69%,3.28%,3.40%,0.00%,3.40%,,1.16%,16.05%,0.00%,16.05%,12.52%,9.85%,2.68%,3.53%,,,,5.84%,,,11.98%,,,29.67%,23.89%,5.78%,7.84%,6.69%,3.28%,3.40%,16.05%,12.52%,3.53%,,,,,,
BLR2011,1,Belarus,BLR,2,3,GFS,2011,,,,,,,39.80%,30.11%,39.80%,30.11%,,,34.41%,24.72%,0.00%,34.41%,24.72%,16.80%,16.80%,7.10%,7.10%,6.25%,0.00%,6.25%,3.14%,2.16%,0.00%,2.16%,0.00%,0.86%,17.61%,0.00%,17.61%,11.81%,9.51%,1.88%,5.10%,2.75%,2.40%,0.70%,5.39%,,,9.69%,0.00%,,30.11%,24.72%,5.39%,7.10%,6.25%,3.14%,2.16%,17.61%,11.81%,5.10%,,,,,,
BLR2012,1,Belarus,BLR,2,3,GFS,2012,,,,,,,42.03%,31.58%,42.03%,31.58%,,,36.48%,26.02%,0.00%,36.48%,26.02%,18.94%,18.94%,8.48%,8.48%,7.51%,0.00%,7.51%,3.64%,3.86%,0.00%,3.86%,0.00%,0.98%,17.54%,0.00%,17.54%,12.02%,9.19%,2.11%,4.80%,2.51%,2.07%,0.71%,5.56%,,,10.45%,0.00%,,31.58%,26.02%,5.56%,8.48%,7.51%,3.64%,3.86%,17.54%,12.02%,4.80%,,,,,,
BLR2013,1,Belarus,BLR,2,3,IMF Country Report,2013,,,,,,,43.62%,31.59%,43.62%,31.59%,,,37.91%,25.89%,0.00%,25.89%,25.89%,21.10%,21.10%,9.07%,9.07%,7.85%,0.00%,7.85%,,,,,,1.22%,16.82%,,,13.15%,9.17%,2.75%,3.67%,,,,5.71%,,,12.03%,,,31.59%,25.89%,5.71%,9.07%,7.85%,,,,13.15%,3.67%,,,,,,
BLZ1980,0,Belize,BLZ,3,3,IMF Country Report,1980,,,,,,,27.47%,27.47%,23.72%,23.72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75%,,23.72%,,,,,,,,,,,,,,,
BLZ1981,0,Belize,BLZ,3,3,IMF Country Report,1981,,,,,,,26.94%,26.94%,23.23%,23.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.70%,,23.23%,,,,,,,,,,,,,,,
BLZ1982,0,Belize,BLZ,3,3,IMF Country Report,1982,,,,,,,25.54%,25.54%,21.98%,21.98%,,,18.75%,18.75%,0.00%,18.75%,18.75%,,,,,,,,,,,,,,,,,,,,,,,,3.15%,,,,3.57%,,21.98%,18.75%,3.23%,,,,,,,,,,,,,
BLZ1983,0,Belize,BLZ,3,3,IMF Country Report,1983,,,,,,,24.05%,24.05%,20.58%,20.58%,,,17.94%,17.94%,0.00%,17.94%,17.94%,,,,,,,,,,,,,,,,,,,,,,,,2.57%,,,,3.47%,,20.58%,17.94%,2.65%,,,,,,,,,,,,,
BLZ1984,0,Belize,BLZ,3,3,IMF Country Report,1984,,,,,,,23.22%,23.22%,21.90%,21.90%,,,19.38%,19.38%,0.00%,19.38%,19.38%,,,,,,,,,,,,,,,,,,,,,,,,2.16%,,,,1.33%,,21.90%,19.38%,2.51%,,,,,,,,,,,,,
BLZ1985,0,Belize,BLZ,3,3,IMF Country Report,1985,,,,,,,23.95%,23.95%,23.61%,23.61%,,,19.88%,19.88%,0.00%,19.88%,19.88%,,,,,,,,,,,,,,,,,,,,,,,,3.71%,,,,0.33%,,23.61%,19.88%,3.73%,,,,,,,,,,,,,
BLZ1986,0,Belize,BLZ,3,3,IMF Country Report,1986,,,,,,,25.42%,25.42%,24.87%,24.87%,,,21.29%,21.29%,0.00%,21.29%,21.29%,,,,,,,,,,,,,,,,,,,,,,,,3.20%,,,,0.55%,,24.87%,21.29%,3.57%,,,,,,,,,,,,,
BLZ1987,0,Belize,BLZ,3,3,IMF Country Report,1987,,,,,,,27.09%,27.09%,25.89%,25.89%,,,22.65%,22.65%,0.00%,22.65%,22.65%,,,,,,,,,,,,,,,,,,,,,,,,2.53%,,,,1.20%,,25.89%,22.65%,3.25%,,,,,,,,,,,,,
BLZ1988,0,Belize,BLZ,3,3,IMF Country Report,1988,,,,,,,28.06%,28.06%,27.80%,27.80%,,,19.50%,19.50%,0.00%,19.50%,19.50%,,,,,,,,,,,,,,,,,,,,,,,,2.74%,,,,0.26%,,27.80%,19.50%,8.30%,,,,,,,,,,,,,
BLZ1989,0,Belize,BLZ,3,3,IMF Country Report,1989,,,,,,,24.55%,24.55%,23.93%,23.93%,,,19.14%,19.14%,0.00%,19.14%,19.14%,,,,,,,,,,,,,,,,,,,,,,,,3.10%,,,,0.71%,,23.93%,19.14%,4.79%,,,,,,,,,,,,,
BLZ1990,0,Belize,BLZ,3,3,GFS,1990,,,,,,,27.03%,27.03%,25.45%,25.45%,,,21.46%,21.46%,0.00%,21.46%,21.46%,5.19%,5.19%,5.19%,5.19%,5.01%,0.00%,5.01%,2.53%,1.50%,0.00%,1.50%,0.00%,0.18%,16.28%,0.00%,16.28%,2.49%,,1.88%,13.20%,11.99%,0.32%,0.59%,3.99%,,,0.00%,1.58%,,25.45%,21.46%,3.99%,5.19%,5.01%,2.53%,1.50%,16.28%,2.49%,13.20%,,,,,,
BLZ1991,0,Belize,BLZ,3,3,GFS,1991,,,,,,,25.50%,25.50%,24.06%,24.06%,,,20.72%,20.72%,0.00%,20.72%,20.72%,5.34%,5.34%,5.34%,5.34%,5.18%,0.00%,5.18%,2.58%,1.55%,0.00%,1.55%,0.00%,0.14%,15.40%,0.00%,15.40%,2.26%,,1.68%,12.70%,11.88%,0.32%,0.44%,3.32%,,,0.02%,1.44%,,24.06%,20.72%,3.34%,5.34%,5.18%,2.58%,1.55%,15.40%,2.26%,12.70%,,,,,,
BLZ1992,0,Belize,BLZ,3,3,GFS,1992,,,,,,,24.35%,24.35%,23.40%,23.40%,,,19.94%,19.94%,0.00%,19.94%,19.94%,6.10%,6.10%,6.10%,6.10%,5.80%,0.00%,5.80%,2.81%,1.91%,0.00%,1.91%,0.00%,0.26%,13.88%,0.00%,13.88%,1.97%,,1.54%,11.35%,10.58%,0.23%,0.56%,3.42%,,,0.04%,0.95%,,23.40%,19.94%,3.46%,6.10%,5.80%,2.81%,1.91%,13.88%,1.97%,11.35%,,,,,,
BLZ1993,0,Belize,BLZ,3,3,GFS,1993,,,,,,,22.57%,22.57%,21.95%,21.95%,,,19.53%,19.53%,0.00%,19.53%,19.53%,5.51%,5.51%,5.51%,5.51%,5.38%,0.00%,5.38%,2.95%,1.90%,0.00%,1.90%,0.00%,0.11%,14.05%,0.00%,14.05%,2.57%,,2.13%,11.02%,10.31%,0.22%,0.46%,2.39%,,,0.03%,0.62%,,21.95%,19.53%,2.42%,5.51%,5.38%,2.95%,1.90%,14.05%,2.57%,11.02%,,,,,,
BLZ1994,0,Belize,BLZ,3,3,GFS,1994,,,,,,,23.07%,23.07%,21.93%,21.93%,,,19.93%,19.93%,0.00%,19.93%,19.93%,5.05%,5.05%,5.05%,5.05%,4.88%,0.00%,4.88%,2.93%,1.24%,0.00%,1.24%,0.00%,0.14%,14.91%,0.00%,14.91%,3.08%,,2.07%,11.26%,10.58%,0.20%,0.57%,1.97%,,,0.03%,1.14%,,21.93%,19.93%,2.00%,5.05%,4.88%,2.93%,1.24%,14.91%,3.08%,11.26%,,,,,,
BLZ1995,0,Belize,BLZ,3,3,GFS,1995,,,,,,,21.05%,21.05%,20.96%,20.96%,,,18.76%,18.76%,0.00%,18.76%,18.76%,3.79%,3.79%,3.79%,3.79%,3.66%,0.00%,3.66%,1.92%,1.16%,0.00%,1.16%,0.00%,0.09%,15.00%,0.00%,15.00%,3.37%,,1.87%,11.07%,10.44%,0.22%,0.57%,2.17%,,,0.04%,0.09%,,20.96%,18.76%,2.20%,3.79%,3.66%,1.92%,1.16%,15.00%,3.37%,11.07%,,,,,,
BLZ1996,0,Belize,BLZ,3,3,GFS,1996,,,,,,,22.58%,22.58%,22.26%,22.26%,,,19.54%,19.54%,0.00%,19.54%,19.54%,4.19%,4.19%,4.19%,4.19%,4.04%,0.00%,4.04%,1.93%,1.10%,0.00%,1.10%,0.00%,0.12%,15.37%,0.00%,15.37%,8.13%,,1.45%,6.59%,6.18%,0.00%,0.65%,2.70%,,,0.02%,0.32%,,22.26%,19.54%,2.73%,4.19%,4.04%,1.93%,1.10%,15.37%,8.13%,6.59%,,,,,,
BLZ1997,0,Belize,BLZ,3,3,GFS,1997,,,,,,,24.63%,24.63%,21.48%,21.48%,,,19.20%,19.20%,0.00%,19.20%,19.20%,4.14%,4.14%,4.14%,4.14%,4.00%,0.00%,4.00%,1.97%,1.38%,0.00%,1.38%,0.00%,0.12%,15.05%,0.00%,15.05%,7.74%,,1.47%,6.80%,6.38%,,0.51%,2.25%,,,0.02%,3.15%,,21.48%,19.20%,2.28%,4.14%,4.00%,1.97%,1.38%,15.05%,7.74%,6.80%,,,,,,
BLZ1998,0,Belize,BLZ,3,3,GFS,1998,,,,,,,23.28%,23.25%,21.93%,21.90%,,,19.73%,19.70%,0.00%,19.73%,19.70%,4.80%,4.80%,4.77%,4.77%,4.65%,0.00%,,,,,,0.00%,0.12%,14.93%,0.00%,14.93%,7.11%,7.11%,0.00%,7.17%,,,0.65%,2.20%,,,0.03%,1.35%,,21.90%,19.70%,2.20%,4.77%,,,,14.93%,7.11%,7.17%,,,,,,
BLZ1999,0,Belize,BLZ,3,3,GFS,1999,,,,,,,23.96%,23.94%,23.03%,23.00%,,,17.43%,17.41%,0.00%,17.43%,17.41%,4.58%,4.58%,4.55%,4.55%,4.41%,0.00%,,,,,,0.00%,0.15%,12.86%,0.00%,12.86%,5.60%,5.60%,0.00%,7.26%,,,0.00%,5.60%,,,0.02%,0.93%,,23.00%,17.41%,5.60%,4.55%,,,,12.86%,5.60%,7.26%,,,,,,
BLZ2000,0,Belize,BLZ,3,3,GFS,2000,,,,,,,21.79%,21.77%,20.36%,20.33%,,,17.86%,17.83%,0.00%,17.86%,17.83%,4.74%,4.74%,4.72%,4.72%,4.59%,0.00%,,,,,,0.00%,0.13%,13.11%,0.00%,13.11%,6.12%,6.12%,0.00%,6.99%,,,0.00%,2.50%,,,0.03%,1.43%,,20.33%,17.83%,2.50%,4.72%,,,,13.11%,6.12%,6.99%,,,,,,
BLZ2001,0,Belize,BLZ,3,3,GFS,2001,,,,,,,24.12%,24.12%,23.07%,23.07%,,,18.70%,18.70%,0.00%,18.70%,18.70%,4.57%,4.57%,4.57%,4.57%,4.41%,0.00%,,,,,,0.00%,0.16%,14.13%,0.00%,14.13%,6.19%,6.19%,0.00%,7.94%,,,0.00%,4.37%,,,0.00%,1.04%,,23.07%,18.70%,4.37%,4.57%,,,,14.13%,6.19%,7.94%,,,,,,
BLZ2002,0,Belize,BLZ,3,3,GFS,2002,,,,,,,23.09%,22.61%,22.07%,21.59%,,,19.79%,19.30%,0.00%,19.79%,19.30%,4.85%,4.85%,4.37%,4.37%,4.23%,0.00%,,,,,,0.00%,0.14%,14.93%,0.00%,14.93%,6.09%,6.09%,0.00%,8.84%,,,0.00%,2.29%,,,0.48%,1.02%,,21.59%,19.30%,2.29%,4.37%,,,,14.93%,6.09%,8.84%,,,,,,
BLZ2003,0,Belize,BLZ,3,3,GFS,2003,,,,,,,22.62%,22.11%,21.42%,20.91%,,,19.68%,19.17%,0.00%,19.68%,19.17%,5.31%,5.31%,4.81%,4.81%,4.50%,0.00%,,,,,,0.00%,0.31%,14.36%,0.00%,14.36%,6.06%,6.06%,0.00%,8.30%,,,0.00%,1.74%,,,0.50%,1.20%,,20.91%,19.17%,1.74%,4.81%,,,,14.36%,6.06%,8.30%,,,,,,
BLZ2004,0,Belize,BLZ,3,3,GFS,2004,,,,,,,22.26%,22.26%,21.56%,21.56%,,,19.66%,19.66%,0.00%,19.66%,19.66%,4.93%,4.93%,4.93%,4.93%,4.72%,0.00%,,,,,,0.00%,0.21%,14.73%,0.00%,14.73%,6.66%,6.66%,0.00%,8.07%,,,0.00%,1.90%,,,0.00%,0.70%,,21.56%,19.66%,1.90%,4.93%,,,,14.73%,6.66%,8.07%,,,,,,
BLZ2005,0,Belize,BLZ,3,3,GFS,2005,,,,,,,25.02%,25.02%,23.78%,23.78%,,,21.31%,21.31%,0.00%,21.31%,21.31%,6.06%,6.06%,6.06%,6.06%,5.81%,0.00%,,,,,,0.00%,0.25%,15.25%,0.00%,15.25%,8.16%,8.16%,0.00%,7.09%,,,0.00%,2.47%,,,0.00%,1.24%,,23.78%,21.31%,2.47%,6.06%,,,,15.25%,8.16%,7.09%,,,,,,
BLZ2006,0,Belize,BLZ,3,3,GFS,2006,,,,,,,25.60%,25.60%,24.09%,24.09%,0.29%,23.80%,21.78%,21.78%,0.00%,21.78%,21.78%,5.85%,5.85%,5.85%,5.85%,5.68%,0.00%,,,,,,0.00%,0.18%,15.93%,0.00%,15.93%,8.91%,8.91%,0.00%,7.02%,,,0.00%,2.30%,2.02%,0.29%,0.00%,1.51%,,24.09%,21.78%,2.30%,5.85%,,,,15.93%,8.91%,7.02%,,,,,,
BLZ2007,0,Belize,BLZ,3,3,GFS,2007,,,,,,,28.69%,28.69%,26.16%,26.16%,1.01%,25.16%,22.92%,22.92%,0.62%,22.30%,22.30%,7.23%,6.61%,7.23%,6.61%,6.98%,0.00%,,,,,,0.00%,0.25%,15.69%,0.00%,15.69%,9.14%,9.14%,0.00%,6.55%,,,0.00%,3.24%,2.81%,0.43%,0.00%,2.53%,,26.16%,22.30%,3.86%,6.61%,,,,15.69%,9.14%,6.55%,,,,,,
BLZ2008,0,Belize,BLZ,3,3,GFS,2008,,,,,,,28.24%,28.24%,25.79%,25.79%,1.53%,24.26%,21.69%,21.69%,0.88%,20.81%,20.81%,7.41%,6.54%,7.41%,6.54%,7.18%,0.00%,,,,,,0.00%,0.23%,14.27%,0.00%,14.27%,8.64%,8.64%,0.00%,5.63%,,,0.00%,4.11%,3.49%,0.62%,0.00%,2.45%,,25.79%,20.81%,4.98%,6.54%,,,,14.27%,8.64%,5.63%,,,,,,
BLZ2009,0,Belize,BLZ,3,3,GFS,2009,,,,,,,26.75%,26.75%,25.50%,25.50%,1.23%,24.26%,22.46%,22.46%,0.82%,21.63%,21.63%,8.17%,7.34%,8.17%,7.34%,7.97%,0.00%,,,,,,0.00%,0.20%,14.29%,0.00%,14.29%,8.11%,8.11%,0.00%,6.18%,,,0.00%,3.04%,2.59%,0.45%,0.00%,1.26%,,25.50%,21.63%,3.86%,7.34%,,,,14.29%,8.11%,6.18%,,,,,,
BLZ2010,0,Belize,BLZ,3,3,GFS,2010,,,,,,,27.83%,27.83%,27.39%,27.39%,1.43%,25.96%,23.57%,23.57%,1.00%,22.57%,22.57%,8.82%,7.82%,8.82%,7.82%,8.59%,0.00%,,,,,,0.00%,0.23%,14.75%,0.00%,14.75%,8.98%,8.98%,0.00%,5.78%,,,0.00%,3.82%,3.39%,0.43%,0.00%,0.43%,,27.39%,22.57%,4.82%,7.82%,,,,14.75%,8.98%,5.78%,,,,,,
BLZ2011,0,Belize,BLZ,3,3,GFS,2011,,,,,,,28.15%,28.15%,26.73%,26.73%,2.28%,24.44%,22.54%,22.54%,1.71%,20.82%,20.82%,8.22%,6.51%,8.22%,6.51%,8.00%,0.00%,,,,,,0.00%,0.22%,14.31%,0.00%,14.31%,7.73%,7.73%,0.00%,6.58%,,,0.00%,4.19%,3.65%,0.54%,0.00%,1.43%,,26.73%,20.82%,5.90%,6.51%,,,,14.31%,7.73%,6.58%,,,,,,
BLZ2012,0,Belize,BLZ,3,3,GFS,2012,,,,,,,26.73%,26.73%,26.06%,26.06%,2.89%,23.16%,22.64%,22.64%,1.68%,20.96%,20.96%,7.83%,6.15%,7.83%,6.15%,7.68%,0.00%,,,,,,0.00%,0.16%,14.80%,0.00%,14.80%,8.81%,8.81%,0.00%,6.00%,,,0.00%,3.42%,2.24%,1.18%,0.00%,0.68%,,26.06%,20.96%,5.10%,6.15%,,,,14.80%,8.81%,6.00%,,,,,,
BLZ2013,0,Belize,BLZ,3,3,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1980,0,Bermuda,BMU,5,4,,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1981,0,Bermuda,BMU,5,4,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1982,0,Bermuda,BMU,5,4,,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1983,0,Bermuda,BMU,5,4,,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1984,0,Bermuda,BMU,5,4,,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1985,0,Bermuda,BMU,5,4,,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1986,0,Bermuda,BMU,5,4,,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1987,0,Bermuda,BMU,5,4,,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1988,0,Bermuda,BMU,5,4,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1989,0,Bermuda,BMU,5,4,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1990,0,Bermuda,BMU,5,4,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1991,0,Bermuda,BMU,5,4,,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1992,0,Bermuda,BMU,5,4,,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1993,0,Bermuda,BMU,5,4,,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1994,0,Bermuda,BMU,5,4,,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1995,0,Bermuda,BMU,5,4,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1996,0,Bermuda,BMU,5,4,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1997,0,Bermuda,BMU,5,4,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1998,0,Bermuda,BMU,5,4,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU1999,0,Bermuda,BMU,5,4,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU2000,0,Bermuda,BMU,5,4,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU2001,0,Bermuda,BMU,5,4,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU2002,0,Bermuda,BMU,5,4,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU2003,0,Bermuda,BMU,5,4,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU2004,0,Bermuda,BMU,5,4,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU2005,0,Bermuda,BMU,5,4,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU2006,0,Bermuda,BMU,5,4,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU2007,0,Bermuda,BMU,5,4,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU2008,0,Bermuda,BMU,5,4,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU2009,0,Bermuda,BMU,5,4,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU2010,0,Bermuda,BMU,5,4,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU2011,0,Bermuda,BMU,5,4,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU2012,0,Bermuda,BMU,5,4,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU2013,0,Bermuda,BMU,5,4,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL1980,1,Bolivia,BOL,3,2,,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL1981,1,Bolivia,BOL,3,2,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL1982,1,Bolivia,BOL,3,2,,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL1983,1,Bolivia,BOL,3,2,,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL1984,1,Bolivia,BOL,3,2,,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
